nom,date,enddate,distance,dplus,dminus,description,region,departement,lat,lng,raceDistances,raceName
Trail de la Tour,2024-06-22,2024-06-22,9000,240,,Viens faire un Tour,Auvergne-Rhône-Alpes,Drôme,45.269897,4.886737,[17000],Trail 9 km
Vétathlon de l'Yonne,2024-06-23,2024-06-23,7000,50,,Vélo et course à pied à l’Yonneur ,Bourgogne-Franche-Comté,Yonne,48.02443,3.670011,"[35000, 16000, 35000, 35000]",Vétatlhon jeunes - Solo - format XS
Trail Perché de Calvignac,2024-06-24,2024-06-24,12500,300,,Une course qui sort du Lot,Occitanie,Lot,44.46414499999999,1.779082,"[7500, 15500, 7500]",La Boucle Intermédiaire Calvignacoise 
La Normandique,2024-06-25,2024-06-25,7000,0,,Une marche Normandique,Normandie,Calvados,49.353976,0.075122,[12000],Marche Nordique Nature-Santé-Loisir
Grand Duc - Trail de Chartreuse,2024-06-30,2024-06-30,77000,4250,4450.0,Sappey comme jamais ,Auvergne-Rhône-Alpes,Isère,45.3875962,5.7344281,"[46000, 24000]",Grand Duc Relais à 5
Trail des Passerelles du Monteynard ,2024-07-06,2024-07-14,13000,600,,"Quand il y en a marre, il y a Monteynard !",Auvergne-Rhône-Alpes,Isère,44.899443,5.673713999999999,"[12000, 17000, 43000, 28000, 42000, 63000, 26000, 16000, 17000, 63000, 16000]",Trail du Drac
Semi-Marathon du Mont-Ventoux,2024-07-07,2024-07-07,21600,1610,,"N'est pas fou qui monte au Ventoux, est fou qui y retourne !",Provence-Alpes-Côte d'Azur,Vaucluse,44.124008,5.1803739,[],"Course sur route 21,6 km"
Le Trail des 4 x 1800,2024-07-19,2024-07-20,12000,800,,(Ça fait 7 200),Auvergne-Rhône-Alpes,Cantal,45.0827278,2.7503595,"[32000, 32000, 20000, 44000]",Le Trail du Plomb
Oisans Trail Tour,2024-07-20,2024-07-20,87000,5030,,Ose Oisans ! ,Auvergne-Rhône-Alpes,Isère,45.1406599,6.051151,"[21000, 40000]",Ultra Tour
Défi de la Muzelle,2024-07-22,2024-07-26,100000,6600,,Viens découvrir les joyaux de cet Écrin de nature,Auvergne-Rhône-Alpes,Isère,45.0081871,6.125145799999999,[50000],Défi de la Muzelle
Trail de la Meije,2024-08-31,2024-09-01,12820,552,,Le Meijeur trail du monde,Provence-Alpes-Côte d'Azur,Hautes-Alpes,45.045842,6.304705999999999,"[15000, 26000, 4800, 42000]",La Boucle de l'Aiguillon en joëlette
Trail Margeride,2024-09-14,2024-09-15,10000,250,,Tu auras Mal(aux)zieu devant tant de beauté,Occitanie,Lozère,44.855562,3.331872,"[17000, 17000, 43000, 26500]",La Veillade Dels Barons
Triathlon des Roses - Paris,2024-09-21,2024-09-21,13200,0,,Tout seinplement incroyable ! ,Île-de-France,Hauts-de-Seine,48.8300331,2.1744744,[],"Triathlon des Roses de Paris (solo, relais à 2 ou 3, challenge entreprises)"
Marathon de Vannes,2024-09-28,2024-09-29,10000,0,,C’est pas de la blague !  ,Bretagne,Morbihan,47.658236,-2.760847,"[42195, 20000, 42195, 42195]",10 Km Gwened Nocturne
Triathlon des Roses - Toulouse ,2024-09-29,2024-09-29,8100,0,,Une course sans épine ! ,Occitanie,Haute-Garonne,43.598264,1.4092542,[],"Triathlon des Roses de Lyon (solo, relais à 2 ou 3, challenge entreprises)"
Marathon des Grands Crus,2024-10-06,2024-10-06,42195,0,,Fruité et avec du corps ,Bourgogne-Franche-Comté,Côte-d'Or,47.32252070000001,5.0371733,"[21097, 10000, 5000]",Marathon
Vredestein 20 km de Paris,2024-10-06,2024-10-06,1000,0,,Le bon cru parisien ! ,Île-de-France,Paris,48.85837009999999,2.2944813,"[2024, 20000]",20kids de Paris Présentiel
Semi-Marathon des Sources du Lac d'Annecy,2024-10-06,2024-10-06,21097,100,,Récupère ton Doussard et c'est parti ! ,Auvergne-Rhône-Alpes,Haute-Savoie,45.77649599999999,6.220515000000001,[10000],Semi-Marathon
Trail en Côte-Rôtie,2024-10-19,2024-10-19,15000,0,,Du vin à toutes les sauces,Auvergne-Rhône-Alpes,Rhône,45.4889512,4.809573299999999,"[12000, 10000, 1000, 500, 1500, 45000, 45000, 45000, 24000, 2000]",La Vendangette
Marathon de Chablis,2024-10-26,2024-10-26,13200,350,,Qui aime bien Chablis bien !,Bourgogne-Franche-Comté,Yonne,47.812921,3.803712,"[21097, 11000, 42195, 19000]",Trail de la Feuillette
LUT By Night,2024-11-02,2024-11-02,15000,550,,Running night fever,Auvergne-Rhône-Alpes,Rhône,45.7605474,4.861117699999999,"[8000, 8000, 26000]",Trail 15 km
Marathon International de la Côte d’Amour,2024-11-02,2024-11-03,5000,0,,J'en reprends une tranche,Pays de la Loire,Loire-Atlantique,47.2869183,-2.3913777,"[42195, 42195, 21097, 10000]",5 km
Toulouse Métropole Run Expérience,2024-11-10,2024-11-10,42195,0,,La vie en rose ! ,Occitanie,Haute-Garonne,43.598264,1.4092542,"[10000, 21097]",Marathon en relais
Asics SaintéLyon,2024-11-30,2024-11-30,156000,4390,,"Saint'étonne, saintéfraiche, saintébynight ! ",Auvergne-Rhône-Alpes,Rhône,45.7605474,4.861117699999999,"[78000, 13000, 78000, 78000, 44000, 23000, 78000]",LyonSaintéLyon
Grand Trail des Vallons de la Vilaine,2025-04-06,2025-04-06,10000,0,,Loin d'être Vilaine !,Bretagne,Ille-et-Vilaine,47.978808,-1.721638,"[5000, 82000, 82000, 31200]",La Randonnée
Esclapa l'Oeil Trail,2024-06-22,2024-06-22,43000,2300,,Une course tape à l'Oeil ,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,43.783361,6.955305,[],Nouvelle Coursasse - relais à 2
Tour du Lac de Vassivière ,2024-06-22,2024-06-22,26000,0,,Un tour de lac ? Vassi !,Nouvelle-Aquitaine,Corrèze,45.6424049,2.094306,"[23400, 9500, 9000]",Marche-Nordique
Run in Saint-Laurent,2024-06-22,2024-06-22,5000,0,,,Occitanie,Pyrénées-Orientales,42.773217,2.989793,[10000],Marche 5 km
Trail de la petite sensée,2024-06-22,2024-06-22,800,0,,Un trail insensé !,Hauts-de-France,Nord,50.353186,3.0642045,"[7000, 11000, 21000, 1600]",La Salengro
L'Ardèche Run,2024-06-22,2024-06-22,21097,0,,Loin d'être la dèche,Auvergne-Rhône-Alpes,Ardèche,44.616893,4.404782,[],Semi-Marathon
Trail de la Cerise,2024-06-23,2024-06-23,18000,700,,Tu vas te refaire la cerise ,Provence-Alpes-Côte d'Azur,Vaucluse,43.829119,5.312693900000001,"[10000, 26000]",Trail 18 km
Triathlon d'Aydat ,2024-06-23,2024-06-23,25750,0,,,Auvergne-Rhône-Alpes,Puy-de-Dôme,45.660537,2.975199,[51500],Triathlon S
Triathlon international du Lac d’Annecy,2024-06-23,2024-06-23,4000,0,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.8992115,6.131265099999999,[51500],Triathlon Sport Adpaté
Triathlon de Béziers,2024-06-23,2024-06-23,12800,0,,,Occitanie,Hérault,43.3362867,3.2188802,"[25750, 51500]",Triathlon XS
Les Foulées de Beauregard,2024-06-23,2024-06-23,9000,0,,,Auvergne-Rhône-Alpes,Rhône,45.6802146,4.793301,[14000],Marche 9 km
Foulées Gouletaises,2024-06-23,2024-06-23,6000,0,,Ca va t'Écouché par terre,Normandie,Orne,48.7174829,-0.1232008,"[10000, 8000]",Trail 6 km
Triathlon du Lac de Lourdes,2024-06-23,2024-06-23,12900,0,,,Occitanie,Hautes-Pyrénées,43.091463,-0.045726,[25750],Triathlon XS
Courir la Jules Verne ,2024-06-23,2024-06-23,5000,0,,Voyage au centre d'Amiens !,Hauts-de-France,Somme,49.894067,2.295753,[10000],Marche 5 km
Speed Lohéacienne,2024-06-23,2024-06-23,10000,0,,Une course qui donne Loh à la bouche,Bretagne,Ille-et-Vilaine,47.8667893,-1.8917513,[],Course sur route 10 km
Ardennes Mega Trail,2024-06-23,2024-06-24,13000,600,,Nature et découverte ,Grand Est,Ardennes,49.8839479,4.84195,"[85000, 48000, 26000]",CDS - Crêtes de Semoy - 13 KM
Trail de l'Île d'Yeu,2024-06-24,2024-06-24,45000,257,257.0,T'as de beaux Yeu tu sais !,Pays de la Loire,Vendée,46.70935290000001,-2.3466244,"[15000, 23000]",Trail 45 km
Les Foulées de La Cathédrale,2024-06-24,2024-06-24,9800,0,,Il est venu le temps des Cathédrales,Centre-Val de Loire,Eure-et-Loir,48.44385399999999,1.489012,[5000],Foulées de La Cathédrale
Ekiden Grandes Heures Nature,2024-06-24,2024-06-24,42195,1260,,À tes heures perdues,Bourgogne-Franche-Comté,Doubs,47.2404763,6.008138499999999,[],Marathon
Semi Marathon de la Côte des Vikings ,2024-06-24,2024-06-24,7000,0,,À l'abordage ,Normandie,Manche,49.5859178,-1.2644094,[21100],La course de l'huitre 
Les Courses du Tilleul,2024-06-24,2024-06-24,10000,0,,,Grand Est,Haut-Rhin,47.72967999999999,7.147285000000001,[5000],Course des As
Corrida de Langueux,2024-06-24,2024-06-25,20000,281,,Et non pas chorrida de langueux si t'as un cheveu sur la langueux,Bretagne,Côtes-d'Armor,48.494183,-2.714449,"[5000, 12000, 19000, 10000, 18000]",Trail 20km
Marathon du Vignoble d'Alsace,2024-06-24,2024-06-25,5000,0,,La choucroute ch’est bon ,Grand Est,Bas-Rhin,48.5384954,7.5155033,"[10000, 10000, 42195, 21097]",Les Foulées Doubles
Course de la Citadelle,2024-06-24,2024-06-24,10000,0,,À l'assaut de la Citadelle !,Hauts-de-France,Nord,50.62925,3.057256,"[5000, 5000]",Course sur route 10 km
Course Nature du Parc de Flers,2024-06-24,2024-06-24,8500,0,,Il te faudra du Flers,Normandie,Orne,48.7503746,-0.5701662,[],"Trail 8,5 km"
La Fêlée Gourmande,2024-06-24,2024-06-24,10000,0,,,Normandie,Seine-Maritime,49.5745759,0.4670195,[5000],Trail 10 km
Run'In Lisieux,2024-06-24,2024-06-24,10000,0,,Ouvre bien tes sieux,Normandie,Calvados,49.145922,0.227849,[5000],Course sur route 10 km
Nocturne de Puyricard,2024-06-24,2024-06-24,10000,0,,Une douce soirée d'été,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,43.582607,5.408437999999999,[],Course sur route 10 km
Oxy'trail,2024-06-24,2024-06-25,10800,73,,Une bouffée d'oxy'gène,Île-de-France,Seine-et-Marne,48.8568393,2.6239675,"[5000, 13000, 23000]",Marche nordique
Font-Romeu Nature Trail,2024-06-24,2024-06-25,7000,300,,Tous les chemins mènent à (Font)Romeu,Occitanie,Pyrénées-Orientales,42.5052379,2.0420012,"[15000, 45000, 26000]",Trail des Amis
La Ruée des Fadas - Logelheim,2024-06-25,2024-06-25,8000,125,,"Plus on est de fous, plus on rit ! ",Grand Est,Haut-Rhin,48.02017499999999,7.407025999999999,[],Course d'obstacles 8 km
Valence Spahis Race,2024-06-25,2024-06-25,7000,0,,Pour soutenir nos blessés !,Auvergne-Rhône-Alpes,Drôme,44.9280296,4.893293799999999,[],OPEN - INDIVIDUEL
Les 10km de l'Hexagone de Paris,2024-06-25,2024-06-25,4000,0,,Le Paris de l'Hexagone,Île-de-France,Paris,48.85837009999999,2.2944813,"[10000, 10000]",Family Walk & Run
Trail de l'Oratoire,2024-06-25,2024-06-25,18000,0,,Un vrai concours d'éloquence,Centre-Val de Loire,Loir-et-Cher,47.792551,1.065343,[9000],Trail 18 km
Trail des 3 Pics,2024-06-25,2024-06-25,56000,3800,,Pics épiques et cols égram !,Occitanie,Haute-Garonne,42.9957827,0.9080209,"[34000, 22500, 12000]",T3P XL
Course des Héros,2024-06-25,2024-06-25,7000,0,,Les vrais héros courent ! ,Nouvelle-Aquitaine,Landes,43.6408739,-1.224277,[],Course sur route 7 km
Trail 3 rivières,2024-06-25,2024-06-25,15000,0,,Mené la danse ,Bretagne,Côtes-d'Armor,48.2945866,-2.5219133,[9000],Trail 15 km
Sarabande – Course Nature de la Vallée du Thouet,2024-06-25,2024-06-25,9000,0,,Thouet permis sur la Sarabande,Nouvelle-Aquitaine,Deux-Sèvres,46.8217025,-0.1379572,"[26000, 15000]",Trail 9 km
Trail de Nigloland,2024-06-25,2024-06-25,26000,0,,L’attraction de l’année !,Grand Est,Aube,48.26064100000001,4.610033,"[15000, 8000]",Trail 26 km
Les Foulées du Ter,2024-06-25,2024-06-25,5000,0,,Ne prends pas le Ter,Bretagne,Morbihan,47.701032,-3.461667,[10000],Course sur route 5 km
Trail de la Guyardaise,2024-06-25,2024-06-25,9000,0,,Il est temps de s'enguyarder !,Bourgogne-Franche-Comté,Yonne,48.3424241,3.0717857,[19000],Randonné / Marche nordique 
Corrida de Pontailler sur Saône,2024-06-25,2024-06-25,5000,0,,Saone qui peut !,Bourgogne-Franche-Comté,Côte-d'Or,47.304937,5.415417,"[7600, 8000, 8700, 11500]",Trail 5 km
Trail de Grésigne,2024-06-25,2024-06-25,26000,1150,,À la trace du Tarn,Occitanie,Tarn,43.992948,1.710653,"[13000, 44000]",Trail 26 km
Les Côteaux De La Logne,2024-06-25,2024-06-25,21000,440,,Une course à couper au Côteaux,Pays de la Loire,Loire-Atlantique,46.9662416,-1.5768403,"[5000, 10000, 30000]",Trail XXS Gedimat Lesimple
NordicTrack Running au Château de Versailles,2024-06-25,2024-06-25,2000,0,,Qui sera le prochain Roi Soleil ?,Île-de-France,Yvelines,48.8048649,2.1203554,"[8000, 400, 8000, 15000]",Course du Château
Trail de la Vallée de la Sélune,2024-06-25,2024-06-25,25000,750,,"Au clair de Sélune, mon ami Pierrot",Normandie,Manche,48.60706159999999,-1.1693978,"[40000, 13000, 7500, 12000, 28000]",Défi « Thélem assurances Avranches »
Trail de Dabo,2024-06-25,2024-06-25,19000,880,,Les femmes Dabo,Grand Est,Moselle,48.6535664,7.235773,"[33000, 10500, 10500]",Trail de la Zorn
Trail des remparts de Vannes,2024-06-25,2024-06-25,7000,69,,Une course Médié-Vannes,Bretagne,Morbihan,47.658236,-2.760847,"[2000, 15000]",Trail 7 km
Trail de l'Epine,2024-06-25,2024-06-25,16000,660,,Un trail qui va t'enlever l'épine du pied !,Auvergne-Rhône-Alpes,Savoie,45.596488,5.874111999999999,"[53000, 40000, 25000]",Ronce
Festy Tour,2024-06-25,2024-06-25,9000,0,,Run to be alive ,Bretagne,Finistère,48.498961,-4.418542,[],Marche 9 km
10 Bornes Nature de Conches,2024-06-25,2024-06-25,7500,0,,C'est pas l'heure d'aller se Concher,Normandie,Eure,48.96195849999999,0.9428394,[10000],"Marche 7,5 km"
La GouRunZik,2024-06-25,2024-06-25,10000,0,,T'as le Gou de la musique ? ,Bretagne,Morbihan,48.13998000000001,-3.606398,[8000],Course sur route 10 km
Transleonarde,2024-06-25,2024-06-25,14000,0,,Mets-toi en transe !,Bretagne,Finistère,48.6593244,-4.2179568,"[42195, 42195, 21097]",Le Trail des Naufrageurs
10 km de Saint Adresse ,2024-06-25,2024-06-25,10000,0,,En voilà une bonne adresse,Normandie,Seine-Maritime,49.50510550000001,0.08581599999999999,[],Course sur route 10 km
Trail de la Grande Champagne,2024-06-25,2024-06-25,12500,297,,Une petite coupe de champagne et c'est parti ,Nouvelle-Aquitaine,Charente,45.617721,-0.218194,"[14000, 52500, 25500]","Trail 12,5 km"
Running Up For Air,2024-06-25,2024-06-26,1440,100,,Put your shoes in the Air,Auvergne-Rhône-Alpes,Haute-Savoie,45.923697,6.869433,[], Running Up For Air 
La Foulée Royale,2024-06-25,2024-06-25,10000,0,,Une course in-roi-table 👑,Île-de-France,Yvelines,48.8978725,2.0961234,[],Trail 10 km
City Trail Di Sartè ,2024-06-26,2024-06-26,8000,0,,La plus Corse des villes Corses,Corse,Corse-du-Sud,41.621822,8.97472,[10000],Marche
7 Vallées Race,2024-06-26,2024-06-26,32000,694,,Sors tes bottes de 7 lieues,Hauts-de-France,Pas-de-Calais,50.3729299,2.036676,"[8000, 21000, 15000, 10000, 12000]",Trail 32 km
Run For Planet Lyon,2024-06-26,2024-06-26,10000,0,,Tout pour la planète ,Auvergne-Rhône-Alpes,Rhône,45.7605474,4.861117699999999,[5000],Course sur route 10 km
Marathon du Mont Blanc,2024-06-28,2024-06-30,92000,6330,6330.0,La crème des trails,Auvergne-Rhône-Alpes,Haute-Savoie,45.923697,6.869433,"[21000, 10000, 23000, 15000, 3800, 42000]",90km du Mont-Blanc
12 heures de Ceyzériat,2024-06-29,2024-06-29,720,300,,Ain-2 heures,Auvergne-Rhône-Alpes,Ain,46.0,5.0,[],Trail 12h
Triathlon de Montauban,2024-06-29,2024-06-30,10300,0,,,Occitanie,Tarn-et-Garonne,44.01625809999999,1.352631,"[25750, 54500]",Triathlon XS
Trail de la Vallée des Lacs,2024-06-29,2024-06-29,15000,900,,Les lacs fantastiques,Grand Est,Vosges,48.0592886,6.892646099999999,"[33000, 13000, 12000, 65000, 65000]",La Géromée de la Vallée des Lacs
Triathlon des Pyrénées ,2024-06-29,2024-06-30,112900,2854,,Au cœur du Montious,Occitanie,Hautes-Pyrénées,42.815835,0.320251,"[13250, 48500]",Triathlon L
Course Concert de Corbas,2024-06-29,2024-06-29,10500,65,65.0,Coooorbaaaas myself 🎶,Auvergne-Rhône-Alpes,Rhône,45.6692071,4.896938599999999,[],Course Concert De Corbas
Corrida Crédit Agricole Toulouse 31,2024-06-30,2024-06-30,10000,0,,Enfile ton habit de lumière !,Occitanie,Haute-Garonne,43.598264,1.4092542,[3000],Course sur route 10 km
Course des Crêtes du Pays Basque,2024-06-30,2024-07-01,14000,500,,Ça va coller aux basques !,Nouvelle-Aquitaine,Pyrénées-Atlantiques,43.340759,-1.44872,"[16700, 7000, 20000, 28000, 7000]",Marche 14 km
Triathlon des Monts de Guéret,2024-06-30,2024-06-30,25750,0,,,Nouvelle-Aquitaine,Creuse,46.16959900000001,1.871452,[10300],Triathlon S
Triathlon des Monts du Lyonnais,2024-06-30,2024-06-30,10300,0,,,Auvergne-Rhône-Alpes,Rhône,45.70753,4.5911099,[25750],Triathlon XS
L'Ultra Marin Raid Golfe du Morbihan,2024-06-30,2024-07-02,175000,1430,,Ça va swinguer !,Bretagne,Morbihan,47.658236,-2.760847,"[100000, 29000, 56000, 34000]",Grand Raid
Duo Nocturne de la Ville de Vedène,2024-06-30,2024-06-30,7500,80,,La nuit porte conseil,Provence-Alpes-Côte d'Azur,Vaucluse,43.974378,4.903105,[],"Trail 7,5 km"
Les Foulées de Bretagne,2024-06-30,2024-07-09,13500,0,,Une course preNantes,Pays de la Loire,Loire-Atlantique,47.21627489999999,-1.5487708,[],"Trail 13,5 km"
Ironman 70.3 Les Sables-d'Olonne - Vendée,2024-06-30,2024-06-30,113000,0,,,Pays de la Loire,Vendée,46.49295799999999,-1.795493,[],Ironman 70.3
Morvan Oxygene Experience,2024-07-01,2024-07-01,36000,1000,,Oxy gènes de mutants,Bourgogne-Franche-Comté,Nièvre,47.0569552,3.9244916,"[21000, 10000, 15000]",Trail 36 km
We Run Paris - Les 10km du PSG,2024-07-01,2024-07-02,3000,0,,Pariiiiis est magique ! 🔴🔵,Île-de-France,Paris,48.856614,2.3522219,"[1500, 500, 10000, 1000, 10000]",Kids Race 13-15 Ans
La Champduf Trail,2024-07-01,2024-07-01,35000,1260,,Allumer le champ du feu !,Grand Est,Bas-Rhin,48.402916,7.215693,"[24000, 14000, 9500]",TRAIL DU BAN DU CENTENAIRE
La Montagnhard,2024-07-01,2024-07-02,50000,3790,,Fais ressortir le Montagn'hard qui est en toi !,Auvergne-Rhône-Alpes,Haute-Savoie,45.9064279,6.7012639,"[27000, 70000, 108000]",La Mi Hard
Week-end du Tour des Glaciers de la Vanoise,2024-07-01,2024-07-02,73000,3750,3740.0,"Éloignez-vous de la bordure du quai, le TGV trail débarque !",Auvergne-Rhône-Alpes,Savoie,45.3818378,6.7213822,"[30000, 16000]",Randonnée TGV
Ultrachampsaur ,2024-07-01,2024-07-02,57000,3700,,T'es ultrachampseux ,Provence-Alpes-Côte d'Azur,Hautes-Alpes,44.623591,6.205691,"[10000, 5000, 30000]",Ultra Champsaur - Relais
Chalmatrail,2024-07-01,2024-07-02,42195,1700,,"Chamallow, Chalmalow, Chalmazel, Chalmatrail",Auvergne-Rhône-Alpes,Loire,45.70340789999999,3.8513654,"[14500, 28000, 7000]",Le Marathon du Chalmatrail
Lumitrail,2024-07-01,2024-07-01,12000,0,,Lumineux !,Grand Est,Ardennes,49.7331178,4.783412,[8000],Lumi'Trail
Les Onze d'Obernai,2024-07-01,2024-07-01,11000,150,,Jean-Louis Obernai,Grand Est,Bas-Rhin,48.465205,7.468407999999999,[],Les O'nzes
Trails des Balcons de Cauterets,2024-07-02,2024-07-02,10000,0,,Y'a du monde au balcon,Occitanie,Hautes-Pyrénées,42.851548,-0.1368737,"[20000, 47000]",Trail 10 km
Tulle Brive Nature,2024-07-02,2024-07-02,11000,210,,Sois gaillard à Brive,Nouvelle-Aquitaine,Corrèze,45.2738685,1.7756071,"[5000, 40000, 29000, 24000]",Marche 11 km
Le TOP Prixtel Ferté-Milon,2024-07-02,2024-07-02,22000,0,,Au top du trail ,Hauts-de-France,Aisne,49.177915,3.124745,"[6000, 11000, 37000]",Le Trail Nature
Course Nature de Laignelet,2024-07-02,2024-07-02,4600,0,,Boire du petit Laig à Laignelet,Bretagne,Ille-et-Vilaine,48.370431,-1.151591,"[33800, 15300]",L'Agnelaise
La Ronde de Saint-Didier,2024-07-02,2024-07-02,12000,0,,Ça donnerait presque le tournis,Provence-Alpes-Côte d'Azur,Vaucluse,44.006624,5.101144,[],Course sur route 12 km
Le Josselin Crugel,2024-07-02,2024-07-02,6000,0,,Crugel-la,Bretagne,Morbihan,47.8784375,-2.597673,"[12000, 10000]",Marche 6 km
Trail de la Flora,2024-07-02,2024-07-02,10000,200,,La faune et la Flora,Bretagne,Côtes-d'Armor,48.557172,-2.532964,"[30000, 20000]",Trail 10 km
10 km de falaise,2024-07-02,2024-07-02,10000,0,,À l'aise à Falaise,Normandie,Calvados,48.8936885,-0.2036019,[],Course sur route 10 km
Tour de l'Île de Batz,2024-07-02,2024-07-02,10500,0,,Seras-tu le nouveau Batzman ?,Bretagne,Finistère,48.740682,-4.0077218,[21097],"Course sur route 10,5 km"
Trail des Bauges,2024-07-02,2024-07-02,10000,350,,Il va faire super Bau(ges) !,Auvergne-Rhône-Alpes,Savoie,45.6713274,6.1059987,"[48000, 21000, 48000]",Trail 10 km
La Ronde des Alpes Mancelles,2024-07-02,2024-07-02,5500,0,,Et si les vraies Alpes étaient dans la Sarthe ?,Pays de la Loire,Sarthe,48.353393,-0.076539,"[15000, 24000]","Trail 5,5 km"
Ti Moon Trail,2024-07-02,2024-07-02,15000,0,,T'es dans la lune ? ,Bretagne,Finistère,47.856372,-3.744641,[8000],Trail 15 km
I Love Tr'ail,2024-07-02,2024-07-02,21000,550,,C'est l'amour fou,Provence-Alpes-Côte d'Azur,Vaucluse,44.15768490000001,4.7250212,[10000],Trail 21 km
La Frileuse,2024-07-02,2024-07-02,20000,0,,Il va faire tout froid !,Île-de-France,Yvelines,48.85284499999999,1.874855,"[10000, 10000, 5000]",Course sur route 20 km
Foulées de Rando Nature,2024-07-02,2024-07-02,8000,0,,Tré belle course,Bretagne,Côtes-d'Armor,48.8147372,-3.3832965,"[16000, 16000]",Trail 8 km
Trail du Schnepf,2024-07-02,2024-07-02,13000,400,,,Grand Est,Haut-Rhin,47.9978638,7.074409,[20000],Trail 13 km
Trail des Évoissons,2024-07-02,2024-07-02,22000,780,,Un trail engagé pour l'environnement !,Hauts-de-France,Somme,49.735069,1.99655,"[35000, 55000]",L'Archemont
Courses du Pays Glazik,2024-07-02,2024-07-02,21100,0,,Un grand Glazik,Bretagne,Finistère,48.1003866,-4.0239205,[],"Course sur route 21,1 km"
Semi-Marathon de Phalempin,2024-07-03,2024-07-03,21097,0,,Pas de la poudre de Phalempinpin !,Hauts-de-France,Nord,50.5283308,3.0176664,[],Semi-Marathon
Trail de la Lanterne,2024-07-03,2024-07-03,22000,430,,Et la lumière fut ,Centre-Val de Loire,Indre-et-Loire,47.414169,0.754852,[13000],Trail 22 km
Trail des Cerfs,2024-07-03,2024-07-03,18000,0,,Gambade tel un cerf ,Bretagne,Côtes-d'Armor,48.176274,-2.752021,"[10000, 10000]",Trail 18 km
Le Trail de l'Ic,2024-07-03,2024-07-03,20000,609,,Il n'y aura pas de Ic ,Bretagne,Côtes-d'Armor,48.571991,-2.814177,[10000],Trail 20 km
Course Nature et Marche Nordique de Chevaigné,2024-07-03,2024-07-03,13000,0,,Une course de Chevaigné,Bretagne,Ille-et-Vilaine,48.2085821,-1.6304753,"[8000, 8000]",Trail 13 km
Trail du Platane,2024-07-03,2024-07-03,7000,170,,Platane o plomo,Nouvelle-Aquitaine,Dordogne,45.09565569999999,1.1956881,"[20000, 11000]",Chemin des moutons
Nouya Trail,2024-07-03,2024-07-03,13000,0,,T'as les pieds bordés de Nouy,Bretagne,Ille-et-Vilaine,48.1133774,-1.5226751,[],Trail 13 km
Zinzin Ultra-Trail,2024-07-06,2024-07-06,155000,6500,,"Zut, j'ai trail ! ",Occitanie,Lozère,44.32409270000001,3.593657,"[14000, 14000, 70000, 1500]",Zinzin Ultra-Trail Solo ou Duo
Ultra Trail Côte d'Azur Mercantour,2024-07-07,2024-07-09,5000,500,,Un grand tour dans le Mercantour,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,44.07013999999999,7.256428,"[30000, 75000, 50000, 10000, 125000, 125000]",Trail 5 km
Triathlon Langogne Naussac,2024-07-07,2024-07-07,51500,0,,,Occitanie,Aveyron,44.520582,2.093646,"[10300, 25750]",Triathlon M
Grand Raid du Guillestrois-Queyras,2024-07-07,2024-07-08,164000,11230,,L’Ultra Trail 100% authentique !,Provence-Alpes-Côte d'Azur,Hautes-Alpes,44.6610919,6.649365,"[65000, 100000, 45000]",Le Relais
Company Cup Annecy,2024-07-07,2024-07-07,10000,0,,Un esprit sain dans un corps sain,Auvergne-Rhône-Alpes,Haute-Savoie,45.8992115,6.131265099999999,[],City Trail
Odlo High Trail Vanoise,2024-07-07,2024-07-09,92000,6450,,Doux comme une glace à la Vanoise.,Auvergne-Rhône-Alpes,Savoie,45.448034,6.980226,"[20000, 9000, 72000, 3000, 42000, 72000, 42000]",Ultimate 5
Trail l'Aube des Templiers,2024-07-08,2024-07-08,22000,650,,Cours jusqu'à l'Aube,Grand Est,Aube,48.114154,4.373386,"[8000, 46000, 14000, 14000, 8000]",Trail de la Tour l'Horloge
Restonica Trail by UTMB®,2024-07-08,2024-07-08,110000,7200,,Attention ça ce Corse !,Corse,Haute-Corse,42.3064761,9.148098000000001,"[17000, 9000, 66800, 33000]",Ultra-Trail di Corsica
La Foulée Jean-Henri Fabre,2024-07-08,2024-07-09,1000,0,,Découvre la Provence à pleines foulées ,Provence-Alpes-Côte d'Azur,Vaucluse,44.1864105,4.8399171,"[5000, 12000, 6000]",Course sur route 1 km
Les 10km de Grand-Fayt,2024-07-08,2024-07-08,10000,0,,Du travail bien Fayt !,Hauts-de-France,Nord,50.11258,3.804235,[],10kms
Beaujolais Runners Trail,2024-07-08,2024-07-08,7000,320,,Des trails hauts en couleur !,Auvergne-Rhône-Alpes,Rhône,46.192646,4.6974557,"[18000, 8000, 31000]",Rando de la Madone
Trail des Tordus,2024-07-08,2024-07-09,12000,295,,Les tordus de trail,Grand Est,Marne,49.1586947,4.1466669,"[25000, 50000]",Le Mini Tordu
La Course entre Mer et Forêt - Semi Marathon et 10 km,2024-07-08,2024-07-08,21097,0,,Au taquet au Touquet !,Hauts-de-France,Pas-de-Calais,50.5242896,1.5830385,[10000],Semi-Marathon
Arena Trail de Liévin,2024-07-08,2024-07-08,15000,0,,,Hauts-de-France,Pas-de-Calais,50.417921,2.775222,"[22000, 8000]",Trail 15 km
