nom,date,enddate,distance,dplus,dminus,description,region,departement,lat,lng,raceDistances,raceName
La nuit AJT,2024-09-16,2024-09-16,21000,330,,,Auvergne-Rhône-Alpes,Ain,45.94094,4.774296,"[10000, 5000, 10000]",Trail 21 km
Muco'run,2024-09-16,2024-09-16,6700,0,,,Auvergne-Rhône-Alpes,Haute-Savoie,46.329991,6.4626952,[],Backyard
Trail de la Renaissance,2024-09-16,2024-09-16,15000,0,,Entre histoire et modernité,Pays de la Loire,Vendée,46.465972,-0.8065,"[24000, 16000, 8000]",Trail 15 km
Le Trail de la Mine,2024-09-16,2024-09-16,24000,1500,,,Auvergne-Rhône-Alpes,Rhône,45.7886005,4.6130698,[12000],Boucle des Maquisards
Trail du Tétras-Lyre,2024-09-16,2024-09-16,18000,771,,,Auvergne-Rhône-Alpes,Isère,44.9610638,5.550148800000001,[36000],Trail 18 km
Trail de Gi J'y Monte,2024-09-16,2024-09-16,16000,700,,,Auvergne-Rhône-Alpes,Ain,45.9766983,5.6015539,"[30000, 30000]","Relais Duo, 2x8 km"
Fest'Trail Causses & Rougier,2024-09-16,2024-09-17,8000,300,,La Fiesta Loca,Occitanie,Aveyron,43.9579625,2.8869509,"[15000, 25000, 48000]",Le Prologue
Impérial Trail,2024-09-16,2024-09-16,43000,960,,Les marches des empereurs,Île-de-France,Seine-et-Marne,48.4026127,2.6969502,"[24000, 12000, 63000]",Marath'bleau
Courir pour le Plaisir à Baudre,2024-09-16,2024-09-16,5000,0,,"Sans réfléchir, pour le plaisir",Normandie,Manche,49.089458,-1.072951,[9900],André Héleine
La Course au Jambon,2024-09-16,2024-09-16,10000,0,,,Pays de la Loire,Vendée,46.720653,-1.459325,"[17000, 5000]",Course sur route 10 km
Grands Trails Esprit Volcans,2024-09-16,2024-09-17,12000,450,,Un trail en fusion !,Auvergne-Rhône-Alpes,Puy-de-Dôme,45.7765846,3.0821443,"[22000, 13400, 34000]",Mardoux Trail - by night
La Serroise,2024-09-16,2024-09-16,8000,200,,,Nouvelle-Aquitaine,Pyrénées-Atlantiques,43.387059,-0.356255,"[12500, 10000]",Trail 8 km
Trail des Bézous d'Chataignes,2024-09-16,2024-09-16,24000,0,,Ave-ssac César,Pays de la Loire,Loire-Atlantique,47.664026,-2.0073439,"[8000, 16000]",Trail 24 km
Course des Vendanges,2024-09-16,2024-09-16,10000,0,,Un petit tour dans les vignes,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,43.582607,5.408437999999999,[5000],Trail 10 km
Trail des Rives de l'Indre,2024-09-16,2024-09-17,48000,0,,C'est un trail Indre-scriptible,Centre-Val de Loire,Indre,46.5863294,1.9917008,"[10000, 5000, 20000]",Trail des Tazons
Memorun,2024-09-16,2024-09-17,5000,0,,Une course pour ne pas oublier,Île-de-France,Paris,48.856614,2.3522219,"[10000, 1000]",Course sur route 5 km
10 km de la Voie Verte,2024-09-16,2024-09-16,10000,0,,,Auvergne-Rhône-Alpes,Haute-Loire,45.2178619,4.342158,[],Course sur route 10 km
Courir à Ydes,2024-09-17,2024-09-17,21000,0,,,Auvergne-Rhône-Alpes,Cantal,45.3501649,2.4434145,"[10000, 5000]",Semi-Marathon
Icio'trail,2024-09-17,2024-09-17,17000,350,,,Auvergne-Rhône-Alpes,Loire,45.389247,3.941005,"[10000, 29000, 42000]",Boucle 2
Skytrail Terre de Running Albertville,2024-09-17,2024-09-17,8500,450,,,Auvergne-Rhône-Alpes,Savoie,45.675535,6.392726,"[25000, 8000]","Randonnée des chevreuils 8,5 km"
Gaubre'Trail,2024-09-17,2024-09-17,7000,100,,À vos marques... Prêts ? Vendée ! ,Pays de la Loire,Vendée,46.943135,-1.064129,"[21000, 14000]",Trail 7 km
Trail des Gorges du Chambon et du Montbronnais,2024-09-17,2024-09-17,80000,2260,,"Une vallée, des gorges, un trail",Nouvelle-Aquitaine,Charente,45.66684799999999,0.4988900000000001,"[31000, 42000, 31000, 16000, 16000]",Trail 80 km
La Thoronéenne,2024-09-17,2024-09-17,11000,0,,Ressers moi un Var !,Provence-Alpes-Côte d'Azur,Var,43.4604131,6.2639942,"[4000, 25000]",La Course nature
Course des Volcans,2024-09-17,2024-09-17,13500,318,,The floor is lava,Auvergne-Rhône-Alpes,Puy-de-Dôme,45.786319,2.988109,[25000],"Trail 13,5 km"
Tour du Néron,2024-09-17,2024-09-17,15000,900,,,Auvergne-Rhône-Alpes,Isère,45.233131,5.681538,"[49000, 49000]",Le Néron Express
Foulées Aquatintiennes,2024-09-17,2024-09-17,21097,0,,Tout en simplicité !,Grand Est,Marne,49.247224,3.999441999999999,"[14000, 7000]",Semi-Marathon
Vaulx Tour Trail,2024-09-17,2024-09-17,30000,1450,,,Auvergne-Rhône-Alpes,Isère,44.9873369,5.749041999999999,"[20000, 10000, 10000]",Trail 30 km
Trail du Pacte des Loups,2024-09-17,2024-09-17,36000,2850,,À pas de loups ,Occitanie,Hautes-Pyrénées,43.0300393,0.3299546,"[11000, 21000]",Trail 36 km
Trail des Petites Cités de Caractère,2024-09-17,2024-09-17,19000,400,,,Pays de la Loire,Mayenne,48.0976862,-0.3515555,[9000],La diabolique
Trail de l'Estran,2024-09-17,2024-09-17,25000,0,,Contre vents et marées : un challenge estrangement séduisant ! ,Bretagne,Côtes-d'Armor,48.81830859999999,-3.3568323,"[50000, 14000, 8000, 50000, 32000, 12000]",Marche 25 km
Laxou Trail,2024-09-17,2024-09-17,22000,0,,,Grand Est,Meurthe-et-Moselle,48.684256,6.152525,[11000],Trail 22 km
Semi-Marathon et 10km de Mâcon,2024-09-17,2024-09-17,21097,0,,Plus runners que maçons,Bourgogne-Franche-Comté,Saône-et-Loire,46.3098525,4.8354085,[10000],Semi-Marathon
10km de la Foire de Savoie,2024-09-17,2024-09-17,10000,0,,,Auvergne-Rhône-Alpes,Savoie,45.5844554,5.901081899999999,[],3x Relais 10km
Trail de l'Antimoine,2024-09-17,2024-09-17,16000,250,,,Pays de la Loire,Vendée,46.7896955,-0.9940466,"[21000, 11000]",Trail 16 km
Urban Trail Aiaccina ,2024-09-17,2024-09-17,4500,100,,Made in Aïaccina ! ,Corse,Corse-du-Sud,41.9202168,8.794628399999999,[12000],"Marche 4,5 km"
Ogeuloise,2024-09-17,2024-09-17,9000,120,,,Nouvelle-Aquitaine,Pyrénées-Atlantiques,43.147054,-0.505722,"[18000, 10000, 10000, 5000]",Marche 9 km
Trail Monassut-Audiracq,2024-09-17,2024-09-17,18000,285,,Une course qui va te faire craquer,Nouvelle-Aquitaine,Pyrénées-Atlantiques,43.419353,-0.196613,"[12100, 12100, 6700]",Trail 18 km
Semi-Marathon des Vendanges de Teyran,2024-09-17,2024-09-17,8300,80,,Récolte le fruit de ton dur labeur,Occitanie,Hérault,43.68270200000001,3.925559,[21097],La Fontanaride
Trail des Vendanges,2024-09-17,2024-09-17,8000,0,,À courir avec modération ,Centre-Val de Loire,Cher,47.13223499999999,2.156712,"[28000, 13000]",La Quincyte
Marathon de Colmar,2024-09-17,2024-09-17,42195,0,,Le bretzel de la Liberté,Grand Est,Haut-Rhin,48.0742595,7.359679099999999,"[10000, 21097]",Marathon Relais à 2
Le sentier des Lônes,2024-09-17,2024-09-17,8000,0,,,Auvergne-Rhône-Alpes,Ain,45.83316,5.096755,[15000],Course la balade des Lônes
Les Foulées Pecquencourtoises ,2024-09-17,2024-09-17,5000,0,,Une course très courtoise,Hauts-de-France,Nord,50.3776632,3.2147227,"[20000, 10000, 8000, 8000]",Course sur route 5 km
